Handle,Variant SKU,Title,description
77330,77330,Перехідник DisplayPort - DVI адаптер-конвертер 77330,"Конвертер DisplayPort - DVI (A-DPM-DVIF-002) 30cм

Используется для подключения монитора с выходом DVA к видеокарте с выходом DisplayPort. Конвертер хорошего качества из доброкачественных материалов.
"
77398,77398,Перехідник DisplayPort - VGA конвертер 77398,"Конвертер DisplayPort - VGA переходник преобразователь

Переходник DisplayPort — VGA является преобразователем цифрового сигнала в аналоговый.

Адаптер для преобразования DisplayPort сигнала в VGA. Позволит подключить монитор, телевизор или проектор с аналоговым VGA выходом к устройству c выходом DisplayPort (ноутбук, копютер, приставка).

Особенности:


	Вход DisplayPort : DisplayPort Входной интерфейс
	Выход VGA: VGA выходной интерфейс
	Тип оборудования: видеопереходник с DisplayPort на VGA
	Цвета, использованные в оформлении: черный
	Разъемы кабеля или переходника VGA ""мама"", DisplayPort папа
	Длина кабеля 0.1 метра
	Упаковка — пакет


Комплектация:


	Переходник  DisplayPort (папа) - VGA(мама) 10 см

"
perekhodnik-dvi-d-to-vga,77284,Перехідник DVI-D (24+1) до VGA активний,"DVI-D 24+1 -&gt; VGA Конвертер видеосигнала DVI-D (24+1) M - VGA 15 pin F HDTV 1080p адаптер переходник преобразователь с видеокарт

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Описание:

Адаптер преобразователь DVI-D 24 + 1 Male - VGA 15 Pin предназначен для подключения различного рода устройств с выходом DVI-D (компьютер, ноутбук, видеокарт) к мониторам, экран и проекторам с входом VGA, или проще говоря, для поключения новых видеокарт 560 , 570, 580, 1060 с выходом DVI-D к мониторам с входом VGA. Также адаптер используется для расширения рабочего стола компьютера на дополнительный монитор или мониторы. Адаптер идеально подойдет, если нужно подключить два монитора с VGA разъемами к видеокарте с одним VGA и одним DVI-D разъемом. Этот адаптер можно также использовать в качестве эмулятора монитора для удаленного доступа к компьютеру через TeamViewer в высоком разрешении. Внимание! Адаптер работает исключительно только в одну сторону, в направлении с DVI-D VGA (НЕ наоборот!). Визуально интерфейс DVI-D во всех модификациях отличается от DVI-I отсутствием четырех отверстий в боковой части разъема. Поддерживает разрешение HDTV: 1080i и 1080p.

Цвет: черный



Разъемы:




	Вход DVI-D: DVI-D Входной интерфейс
	Выход VGA: VGA выходной интерфейс


 Характеристики:



	DVI-D(папа) и VGA RGB(мама).
	Питание от DVI
	Поддерживает полный разрешение 720 P или 1080 P
	Подходит для DVI-устройств (например, ПК, DVD, PS3, PS4, Xbox360, и др.) и VGA-выход устройства (такие как монитор, проекторы и др.)
	Встроенный чипсет
	Для подключения вашего ПК или планшета к ТВ или Монитору
	Подходит для всех устройств с таким типом разьемов
	Длина: 18см
	Передает сигнал в сторону от DVI - VGA. Работает только в одну сторону.


Комплектность:


	адаптер DVI - VGA
	упаковка полупрозрачная


"
perekhodnik-hdmi-m-to-hdmi-c-mini-f-cablexpert-a-hdmi-fc,77109,Перехідник HDMI M на HDMI C (mini) F Cablexpert (A-HDMI-FC),"Переходник micro hdmi to hdmi

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Переходник адаптер HDMI на micro HDMI для вывода изображения с смартфона, планшета, ноутбука, ПК и т.п. в которых выход micro HDMI на экран монитора, телевизора в которых является наличие HDMI входа.






"
perekhodnik-hdmi-to-micro-hdmi-cablexpert-a-hdmi-fd,77108,Перехідник HDMI to micro-HDMI Cablexpert (A-HDMI-FD),"Переходник mini hdmi to hdmi

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Переходник адаптер HDMI на mini HDMI для вывода изображения с смартфона, планшета, ноутбука, ПК и т.п. в которых выход mini HDMI на экран монитора, телевизора в которых является наличие HDMI входа.






"
77350,77350,Перехідник HDMI to VGA 77350,"Конвертер HDMI на VGA 1080р переходник преобразователь адаптер с Т2 на монитор

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Адаптер для преобразования HDMI сигнала в VGA. Позволит подключить монитор, телевизор или проектор с аналоговым VGA выходом к HDMI устройству.

Конвертер Hdmi-Vga  для преобразования Hdmi сигнала в Vga позволит подключить монитор, телевизор или проектор с аналоговым Vga выходом к Hdmi устройству, имеющему только Hdmi выход.   Может быть использован в ноутбуках, проекторах, мониторах, планшетных ПК и других устройствах HD. Преобразует цифровой видео- и аудиосигнал Hdmi в аналоговый интерфейс Vga. Помогает решить проблему конфликта между цифровыми и аналоговыми сигналами, при этом вы не меняете устройство и по-прежнему пользуетесь HD оборудованием. Преобразователь позволяет получать звук из Hdmi источника через 3.5 мм джек.

Конвертер HDMI - VGA  может быть использован в ноутбуках, STB, DVD и других устройствах HD. Он преобразует цифровой видео HDMI в аналоговый интерфейс VGA. Этот конвертер действительно решает проблему конфликта между цифровыми и аналоговыми сигналами, при этом вы не меняете устройство и по-прежнему пользуетесь HD оборудованием. Не требует питания (питается от HDMI),  требует дополнительных настройки, первое подключение должно наченатса с минимального розширения.

Качество: высокое.



Цвет: черный.



Разъемы:




	Вход HDMI: HDMI Входной интерфейс
	Выход VGA: VGA выходной интерфейс
	Выход 3.5 мм. джек


 Характеристики:



	HDMI(мама) и VGA RGB(папа).
	Питание от HDMI
	Поддерживает полный разрешение 720 P или 1080 P
	Подходит для hdmi-устройств (например, ПК, DVD, PS3, Xbox360, и др.) и VGA-выход устройства (такие как монитор, проекторы и др.)
	Встроенный чипсет
	Для подключения вашего ПК или планшета к ТВ или Монитору
	Подходит для всех устройств с таким типом разьемов
	Длина аудио кабеля: 48,5мм.
	Передает сигнал в сторону от HDMI - VGA. Работает только в одну сторону.


Комплектность:


	адаптер HDMI - VGA
	аудиокабель

"
perekhodnik-hdmi-vga-gibkiy-chernyy-cl2530,77205,Перехідник HDMI to VGA гнучкий/77205,"HDMI на VGA 1080p адаптер конвертер видео переходник кабель T2

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Адаптер для преобразования HDMI сигнала в VGA. Позволит подключить HDMI устройство к  монитору, телевизору или проектор с аналоговым VGA входом .

Конвертер HDMI - VGA  может быть использован в ноутбуках, STB, DVD и других устройствах HD. Можно подключить современные видеокарты с цифровой передачей изображения к старым мониторам с выходом VGA. Он преобразует цифровой видео HDMI в аналоговый интерфейс VGA. Этот конвертер действительно решает проблему конфликта между цифровыми и аналоговыми сигналами, при этом вы не меняете устройство и по-прежнему пользуетесь HD оборудованием. Не требует питания (питается от HDMI), не требует никаких дополнительных настроек и т.д. Просто включи и работай. (Исключение для приставок Т2, нужно сменить расширение)

Данный переходник также используется в майнинге, в качестве эмулятора монитора. В случае, когда материнская плата не стартует без монитора, а также при необходимости подключения к ПК удаленно с высоким разрешением, например, программой TeamViewer.

Преобразователь с HDMI в VGA адаптер конвертер видео переходник на с перехідник відео T2 эмулятор монитора

Качество: высокое.



Цвет: черный



Разъемы:




	Вход HDMI: HDMI Входной интерфейс
	Выход VGA: VGA выходной интерфейс


 Характеристики:



	HDMI(папа) и VGA RGB(мама).
	Питание от HDMI
	Поддерживает полный разрешение 720 P или 1080 P , от 640*480 до 1920*1024 пикселей
	Подходит для hdmi-устройств (например, ПК, DVD, PS3, Xbox360, и др.) и VGA-выход устройства (такие как монитор, проекторы и др.)
	Встроенный чипсет
	Для подключения вашего ПК или планшета к ТВ или Монитору
	Подходит для всех устройств с таким типом разьемов
	Длина: 18см
	Передает сигнал в сторону от HDMI - VGA. Работает только в одну сторону.


Комплектность:


	адаптер HDMI - VGA
	заглушка на штекер HDMI
	пакет-упаковка



"
perekhodnik-hdmi-to-vga-audio-35mm-usb-pitanie-mosunx-mmar,77286,Перехідник HDMI to VGA/ додаткове живлення/аудіо 77286,"HDMI в VGA адаптер конвертер видео аудио переходник на tv тюнер T2 Xbox с бокс преобразователь Playstation 3 4

Адаптер для преобразования HDMI сигнала в VGA. Позволит подключить монитор, телевизор или проектор с аналоговым VGA выходом к HDMI устройству.

Для подключиния Android приставок, Xbox360, Sony Playstation 3, Sony Playstation 4, Т2 тюнеров, DVD плееров и другив видео устройст с HDMI выходом к старому монитору LCD жыдкокристалическому или другому монитору с VGA входом.

Конвертер HDMI - VGA  может быть использован в ноутбуках, STB, DVD и других устройствах HD. Он преобразует цифровой видео HDMI в аналоговый интерфейс VGA. Этот конвертер действительно решает проблему конфликта между цифровыми и аналоговыми сигналами, при этом вы не меняете устройство и по-прежнему пользуетесь HD оборудованием. Не требует питания (питается от HDMI), не требует никаких дополнительных настроек и т.д. Просто включи и работай.

Спросите у нас. Как сделать монитор как телевизор? - Легко.

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Подходит так же для Т2 тюнеров

Качество: высокое.



Цвет: черный



Разъемы:




	Вход HDMI: HDMI Входной интерфейс
	Вход microUSB: MicroUSB 5 вольт Входной интерфейс
	Выход VGA: VGA выходной интерфейс
	Выход 3.5 мм. джек


 Характеристики:



	HDMI(папа) и VGA RGB(мама).
	Питание от HDMI
	Поддерживает полный разрешение 720 P или 1080 P
	Подходит для hdmi-устройств (например, ПК, DVD, PS3, PS4, Xbox360, и др.) и VGA-выход устройства (такие как монитор, проекторы и др.)
	Встроенный чипсет
	Для подключения вашего ПК или планшета к ТВ или Монитору
	Подходит для всех устройств с таким типом разьемов
	Длина: 18см
	Передает сигнал в сторону от HDMI - VGA. Работает только в одну сторону.


Комплектность:


	адаптер HDMI - VGA
	аудиокабель (длина 50см.)
	USB кабель
	упаковка полупрозрачная




"
perekhodnik-hdmi-vga-35mm-kabel-v-komplekte-blister,77036,Перехідник HDMI у VGA з аудіо входом 3.5 мм; 77036,"HDMI на VGA 1080p адаптер конвертер видео переходник кабель T2



Адаптер для преобразования HDMI сигнала в VGA. Позволит подключить монитор, телевизор или проектор с аналоговым VGA выходом к HDMI устройству.

Для подключиния Android приставок, Xbox360, Sony Playstation 3, Т2 тюнеров, DVD плееров и другив видео устройст с HDMI выходом к старому монитору LCD жыдкокристалическому или другому монитору с VGA входом

Конвертер HDMI - VGA  может быть использован в ноутбуках, STB, DVD и других устройствах HD. Он преобразует цифровой видео HDMI в аналоговый интерфейс VGA, переходник от монитора к т2 цифровой приставки. Этот конвертер действительно решает проблему конфликта между цифровыми и аналоговыми сигналами, при этом вы не меняете устройство и по-прежнему пользуетесь HD оборудованием. Не требует питания (питается от HDMI), не требует никаких дополнительных настроек и т.д. Просто включи и работай.

Спросите у нас. Как подключить пс к монитору? Как сделать монитор как телевизор? Как сделать монитор как телевизор?

Мы ответим - легко! Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Подходит так же для Т2 тюнеров

Качество: высокое.



Цвет: черный



Разъемы:




	Вход HDMI: HDMI Входной интерфейс
	Выход VGA: VGA выходной интерфейс
	Выход 3.5 мм. джек


 Характеристики:



	HDMI(папа) и VGA RGB(мама).
	Питание от HDMI
	Поддерживает полный разрешение 720 P или 1080 P
	Подходит для hdmi-устройств (например, ПК, DVD, PS3, Xbox360, и др.) и VGA-выход устройства (такие как монитор, проекторы и др.)
	Встроенный чипсет
	Для подключения вашего ПК или планшета к ТВ или Монитору
	Подходит для всех устройств с таким типом разьемов
	Длина: 18см
	Передает сигнал в сторону от HDMI - VGA. Работает только в одну сторону.


Комплектность:


	адаптер HDMI - VGA
	аудиокабель (длина 50см.)
	упаковка полупрозрачная


Есть вопрос? Напишите нам






"
hdmi-v-av-rca-tulpan-usb-kabel-pitaniya-tishric-mjt257,77298,Перехідник HDMI у тюльпан (RCA); HDMI2AV Tishric 77298,"Адаптер HDMI - AV/RCA/CVBS 0.15 м Black

Конвертер видеосигнала HDMI2AV/RCA/CVBS аудио видео адаптер с питанием в тюльпан преобразователь

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Этот миниатюрный переходник производит с HDMI цифрового сигнала в  аналоговой аудиовидео сигнала и аудео сигнала RCA (тюльпан).

Внимание: переходник однонаправленный, работает только в направлении из HDMI в RCA/AV/CVBS !

Примеры использования - подключение ТВ тюнера, видео приставки, Sony Playctation 1 2 3 4, видеокарт, копютеров, тв бокс приставок, выходом HDMI к разъемам типа ""тюльпан"" RCA к старому телевизору  или монитору с входом тюльпан RCA/AV/CVBS.

Питание конвертера осуществляется посредством USB кабеля, который идет в комплекте. Этот кабель одной стороной нужно подключить к конвертеру, а другим  - в любой USB порт (например, выход USB в телевизоре или зарядке от смартфона).

Внимание: на выходе из конвертера Вы получите изображение соответствующее аналоговому сигналу, Вы не получите HD качество изображения. Учтите это перед покупкой, проконсультируйтесь с нами бесплатно.

Подходит так же для Т2 тюнеров, спутниковых ресиверов

Качество: высокое.



Цвет: черный.



Разъемы:




	Вход HDMI: HDMI Входной интерфейс
	Вход: USB выходной интерфейс
	Выход RCA: RCA (AV) выходной интерфейс


 Характеристики:



	RCA(мама) и HDMI(мама).
	Питание от USB
	Поддерживает полный разрешение 720 P или 1080 P
	Подходит для hdmi-устройств (например, ПК, DVD, PS3,PS4, Xbox360, и др.) и RCA/AV/CVBS-выход устройства (такие как монитор, проекторы и др.)
	Встроенный чипсет
	Для подключения вашего ПК, видеомагнитофона, видиокамер к ТВ или Монитору
	Подходит для всех устройств с таким типом разьемов
	Длина: 18см
	Передает сигнал в сторону от HDMI - RCA. Работает только в одну сторону.


Комплектность:


	адаптер  HDMI-RCA(AV)
	мануал
	полупрозрачаня упаковка
	кабель питания



"
perekhodnik-mini-displayport-to-vga-sku015028,77122,Перехідник Mini DisplayPort to VGA/SKU015028,"Apple Переходник mini DisplayPort VGA Mac Кабель адаптер miniDP M ВГА 15 Pin F мама Адаптер Apple A1307 Mini DisplayPort to VGA Adapter (MB572Z/A) Переходник

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.

Адаптер переходник HDMI-VGA цифро-аналоговый преобразователь ― прекрасно подойдет для решения проблем подключения современных устройств (ноутбуки, планшеты, телефоны) с разъёмом Mini Display Port DP к устаревшему оборудованию (мониторы, планшеты, проекторы и т.д.) с разъёмом VGA.

Качество: высокое.



Цвет:  белый.



Разъемы:




	Вход mini DisplayPort входной интерфейс
	Выход VGA: VGA выходной интерфейс




Характеристики:



	Поддерживает до 1080p 1920 х 1200 снижается гашения разрешение видео
	Материал: Пластиковый корпус
	Тип интерфейса:  Mini Display Port DP для VGA
	Длина кабеля: 22 cm
	Поддержка: Mini DisplayPort 1.1a
	Размеры: 21.8x4.5x1.5cm
	Вес: 44g


Комплектность:


	iMac Mac Mini Mac Pro MacBook Air MacBook Pro 13 inch

	MacBook Pro 15 inch MacBook Pro 17 дюймов


Комплектность:


	адаптер

"
77103,77103,Перехідник mini DisplayPort на HDMI адаптер Apple MacBook 77103,"Thunderbolt Мини-дисплей порт MiniDisplay port на HDMI адаптер для Apple MacBook PRO dp Microsoft Surface Pro 1 2 3 4 5 6 7 Dock station Laprop 1 2 3 Surface Book 1 2 3

Нужна консультация? Мы с радостью ответим на все Ваши вопросы.










"
